english,nepali,bhutia_script,transliteration,audio
hello,नमस्ते ,སྐུ་གཟུགས་ བཟང་པོ། ,Kuzuzangpo.,audio/kuzuzangpo.mp3
goodbye,बिदा,ག་ལུདབ་ བྱོན་བོ་ གནང་།་ ,gha-lip jyen-bo nang.,audio/hello.mp3
good morning,शुभ प्रभात, དྲོ་པ་ བདེ་ལེགས།  ,dro-pa delek.,audio/hello.mp3
good night,शुभ रात्रि,ཕྱི༹་རུ་ བདེ་ལེགས།  ,phyi-ru delek.,audio/hello.mp3
thank you,धन्यवाद,ཐུགས་རྗེ་ཆེ། ,thukje-chi.,audio/hello.mp3
please, 
sorry,माफ गर्नुहोस्, དགོངས་འཁྲེལ་ མ་གནང་།  ,gong-threl ma-nang.,audio/hello.mp3
excuse me, 
welcome,स्वागत छ,བྱོན་བོ་ལེགས་སོ།  ,jyen-bo leg-so.,audio/hello.mp3
yes,हुन्छ,ལགས་ཨིན།  ,la-in.,audio/hello.mp3
no,होइन,མན་སྦད།  ,men-bey.,audio/hello.mp3
maybe,हुन सक्छ,མན་ཅེ་ན།  ,men-chey na.,audio/hello.mp3
okay,हुन्छ,འགྲིག་ཀེ།  ,dik-key.,audio/hello.mp3
how are you?,तपाईंलाई कस्तो छ?, ལྷན་རྒྱས་ ག་ལྟེམ་ ཡོད?  ,lhengay kha-tem ye?,audio/hello.mp3
I am fine,म ठीक छु,ང་ ལེགམ་ར་ ཡོད། ,nga lem-ra ye.,audio/hello.mp3
nice to meet you,तपाईंलाई भेटेर खुसी लाग्यो,ལྷན་རྒྱས་ མཉམ་པུ་ མཇལ་སྡི་ དགའ་དྲགས་ འབྱུང་།  ,lhengay nyampu jye-di ga-ta jung.,audio/hello.mp3
see you later,पछि भेटौँला,རྒྱབ་ལོ་ མཇལ་གེ།   ,gyab-lo jye-gey.,audio/hello.mp3
take care,ख्याल राख्नुहोस्,ཐུགས་རིག་ གནང་། ,thuk-rig nang.,audio/hello.mp3
good luck,शुभकामना,རྟེན་འབྲེལ་ བཟང་།  ,tem-dey zang.,audio/hello.mp3
hello friend,नमस्ते साथी,སྐུ་གཟུགས་ བཟང་པོ་ ཆ་རོགས།  ,kuzu-zangpo chya-ro.,audio/hello.mp3
I,म,ང་།  ,nga.,audio/hello.mp3
you,तपाईं,རང/ཆོད/ལྷན་རྒྱས། ,rang/chey/lhengay.,audio/hello.mp3
he,उहाँ,ཁོ།  ,kho.,audio/hello.mp3
she,उनी,མོ།  ,mo.,audio/hello.mp3
it,यो,འདི།  ,di.,audio/hello.mp3
we,हामी,ང་ཅག།  ,nga-chag.,audio/hello.mp3
they,उनीहरू,ཁོང་ཙུ།  ,khong-tsu.,audio/hello.mp3
me,म,ང་།  ,nga.,audio/hello.mp3
him,उसलाई,ཁོ་ལོ།  ,kho-lo.,audio/hello.mp3
her,उनलाई / उनको,མོའི/མོ་ལོ།  ,mu-yi/mo-lo.,audio/hello.mp3
us,हामीलाई,ང་ཅག།  ,nga-chag.,audio/hello.mp3
them,तिनीहरूलाई,ཁོང་ཙུ།  ,khong-tsu.,audio/hello.mp3
